"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","AVG_SCORE_Z","MEDIAN_SCORE","STDEV_SCORE","PROVINCE_AVG","PROVINCE_SD","pm25","burned_ha","fire_count"
5,"Southeast Kootenay",2017,"04","396",420.9338,0.227443958226112,446,137.5929,369.7585,225.0018,14.6904441356659,55827,31
5,"Southeast Kootenay",2017,"07","407",398.3034,0.144921864843653,415,138.8085,365.4176,226.9209,14.6904441356659,55827,31
5,"Southeast Kootenay",2018,"04","388",397.5348,0.156706285462064,440,175.1103,361.6057,229.2767,12.6376718997955,28982,28
5,"Southeast Kootenay",2018,"07","396",385.0852,0.122797731503708,416,160.7237,356.6422,231.6248,12.6376718997955,28982,28
5,"Southeast Kootenay",2019,"04","393",382.6047,0.0677213998394079,434,186.1208,366.7404,234.2583,3.48403811454773,98,8
5,"Southeast Kootenay",2019,"07","407",390.6504,0.143689428706904,413.5,158.135,357.1648,233.0415,3.48403811454773,98,8
5,"Southeast Kootenay",2020,"04","335",377.9519,0.154215009618038,437,202.4505,338.5485,255.5095,6.66846604347229,7210,7
5,"Southeast Kootenay",2020,"07","359",334.7024,0.0635129222843593,404,199.6314,318.5741,253.9373,6.66846604347229,7210,7
5,"Southeast Kootenay",2021,"04","324",435.2463,-0.489996863607811,428.1828,96.2244,490.3953,112.5497,10.5459211349487,15992,18
5,"Southeast Kootenay",2021,"07","356",412.8137,-0.518254989251316,420.5778,102.6439,474.0476,118.154,10.5459211349487,15992,18
5,"Southeast Kootenay",2022,"04","347",433.5294,-0.410259713536774,429.92,99.159,479.387,111.777,6.76822457313538,5148,19
5,"Southeast Kootenay",2022,"07","446",413.6939,-0.475591592282125,409.4089,91.9227,468.296,114.8088,6.76822457313538,5148,19
5,"Southeast Kootenay",2023,"04","354",426.5533,-0.450791384663465,428.9039,95.4177,477.3267,112.6317,14.7323289871216,22729,19
5,"Southeast Kootenay",2023,"07","400",399.3926,-0.522653543928788,390.5723,97.1669,460.2924,116.5204,14.7323289871216,22729,19
5,"Southeast Kootenay",2024,"04","395",421.4889,-0.538509867111138,416.7062,97.1828,479.7736,108.2333,7.16253352165222,18549,13
5,"Southeast Kootenay",2024,"07","443",412.5784,-0.50814672010372,406.3452,89.8207,469.7227,112.4563,7.16253352165222,18549,13
6,"Rocky Mountain",2017,"04","268",453.2482,0.371062364834415,468,121.3503,369.7585,225.0018,13.1408330440521,56181,52
6,"Rocky Mountain",2017,"07","234",436.7976,0.314558949836705,468,143.0477,365.4176,226.9209,13.1408330440521,56181,52
6,"Rocky Mountain",2018,"04","272",451.1601,0.390595293808747,460,124.1724,361.6057,229.2767,11.2446471691132,45840,87
6,"Rocky Mountain",2018,"07","230",465.6639,0.470682327626403,484,129.6993,356.6422,231.6248,11.2446471691132,45840,87
6,"Rocky Mountain",2019,"04","284",458.0653,0.389847019294514,473,112.1745,366.7404,234.2583,2.75054051876068,52,7
6,"Rocky Mountain",2019,"07","268",467.1649,0.472019361358385,469,137.6802,357.1648,233.0415,2.75054051876068,52,7
6,"Rocky Mountain",2020,"04","227",463.7647,0.49006475297396,484,132.0698,338.5485,255.5095,5.47951946258545,8382,15
6,"Rocky Mountain",2020,"07","283",462.4007,0.566386269366493,489.5,147.7552,318.5741,253.9373,5.47951946258545,8382,15
6,"Rocky Mountain",2021,"04","270",463.0957,-0.242555955280201,462.1443,89.6347,490.3953,112.5497,12.7074829101562,29314,61
6,"Rocky Mountain",2021,"07","284",461.8496,-0.103238146825329,455.4678,99.1298,474.0476,118.154,12.7074829101562,29314,61
6,"Rocky Mountain",2022,"04","260",457.9122,-0.192121813968885,460.2238,84.5463,479.387,111.777,5.6676411151886,10771,57
6,"Rocky Mountain",2022,"07","289",467.5834,-0.00620684128742752,471.9677,95.5232,468.296,114.8088,5.6676411151886,10771,57
6,"Rocky Mountain",2023,"04","267",455.1988,-0.196462452400168,460.5193,91.9214,477.3267,112.6317,18.7983540534973,36201,53
6,"Rocky Mountain",2023,"07","255",438.5415,-0.186670316957374,442.5319,90.474,460.2924,116.5204,18.7983540534973,36201,53
6,"Rocky Mountain",2024,"04","244",459.7221,-0.185261837161021,457.8566,82.2295,479.7736,108.2333,9.13648838996887,50094,58
6,"Rocky Mountain",2024,"07","280",456.4447,-0.118072531285486,445.8446,90.5411,469.7227,112.4563,9.13648838996887,50094,58
8,"Kootenay Lake",2017,"04","301",360.7241,-0.0401525676683476,426,204.1835,369.7585,225.0018,11.7619645118713,16670,55
8,"Kootenay Lake",2017,"07","270",349.8125,-0.068768897003317,411.5,193.1341,365.4176,226.9209,11.7619645118713,16670,55
8,"Kootenay Lake",2018,"04","307",358.6796,-0.012762308599173,427,204.0386,361.6057,229.2767,12.8882201194763,44225,79
8,"Kootenay Lake",2018,"07","313",352.2088,-0.019140437466109,406.5,193.9333,356.6422,231.6248,12.8882201194763,44225,79
8,"Kootenay Lake",2019,"04","279",395.2917,0.121879566273639,454.5,202.501,366.7404,234.2583,3.2307345867157,95,7
8,"Kootenay Lake",2019,"07","320",355.15,-0.00864567040634409,416.5,199.9366,357.1648,233.0415,3.2307345867157,95,7
8,"Kootenay Lake",2020,"04","249",328.7547,-0.0383304730352491,418,248.2504,338.5485,255.5095,6.74480419158936,9613,16
8,"Kootenay Lake",2020,"07","297",344.5305,0.102215783187425,413,221.5491,318.5741,253.9373,6.74480419158936,9613,16
8,"Kootenay Lake",2021,"04","254",466.8597,-0.209112951878148,475.6148,102.9993,490.3953,112.5497,15.547477722168,68133,52
8,"Kootenay Lake",2021,"07","329",419.4993,-0.461671208761447,424.1544,107.492,474.0476,118.154,15.547477722168,68133,52
8,"Kootenay Lake",2022,"04","322",446.5595,-0.29368743122467,455.4572,101.3357,479.387,111.777,7.2078902721405,9122,50
8,"Kootenay Lake",2022,"07","294",423.7428,-0.388064329563587,420.3146,95.8154,468.296,114.8088,7.2078902721405,9122,50
8,"Kootenay Lake",2023,"04","291",446.2221,-0.276162039638929,449.4353,107.2321,477.3267,112.6317,16.8395694732666,19041,42
8,"Kootenay Lake",2023,"07","356",441.7334,-0.159276830494917,454.3759,107.6374,460.2924,116.5204,16.8395694732666,19041,42
8,"Kootenay Lake",2024,"04","289",459.3902,-0.188328361049695,468.8878,94.2599,479.7736,108.2333,9.20313897132874,37880,63
8,"Kootenay Lake",2024,"07","300",452.542,-0.152776678585371,444.6737,99.2046,469.7227,112.4563,9.20313897132874,37880,63
10,"Arrow Lakes",2017,"04","Msk",387.4815,0.0787682587428187,488,225.9837,369.7585,225.0018,10.9250835418701,12422,35
10,"Arrow Lakes",2017,"07","Msk",297.2,-0.300622816144304,329,232.3532,365.4176,226.9209,10.9250835418701,12422,35
10,"Arrow Lakes",2018,"04","28",369.9444,0.0363695918512433,455,226.3976,361.6057,229.2767,11.3472407341003,23568,74
10,"Arrow Lakes",2018,"07","31",397.1053,0.174692433625415,477,209.2674,356.6422,231.6248,11.3472407341003,23568,74
10,"Arrow Lakes",2019,"04","30",417.7143,0.217596985891215,486,189.5061,366.7404,234.2583,3.53605999946594,12,3
10,"Arrow Lakes",2019,"07","38",405.1087,0.205731168053759,467,206.3008,357.1648,233.0415,3.53605999946594,12,3
10,"Arrow Lakes",2020,"04","24",359.0857,0.0803774419346442,456,263.5844,338.5485,255.5095,6.31125683784485,2446,12
10,"Arrow Lakes",2020,"07","25",331.5263,0.0510055041145984,443,252.9637,318.5741,253.9373,6.31125683784485,2446,12
10,"Arrow Lakes",2021,"04","24",465.0215,-0.225445292168704,468.8816,90.1754,490.3953,112.5497,15.6980261325836,73236,52
10,"Arrow Lakes",2021,"07","30",472.2428,-0.015274980110703,491.5051,88.2193,474.0476,118.154,15.6980261325836,73236,52
10,"Arrow Lakes",2022,"04","41",482.9377,0.0317659268006836,472.6257,90.9027,479.387,111.777,5.26500639915466,6812,47
10,"Arrow Lakes",2022,"07","34",465.4505,-0.0247846854944918,488.2801,90.4296,468.296,114.8088,5.26500639915466,6812,47
10,"Arrow Lakes",2023,"04","36",498.1172,0.184588353012518,494.5229,82.1094,477.3267,112.6317,16.5972396850586,9643,40
10,"Arrow Lakes",2023,"07","29",488.0373,0.238111952928415,520.6046,111.8957,460.2924,116.5204,16.5972396850586,9643,40
10,"Arrow Lakes",2024,"04","38",464.2687,-0.143254432785473,465.2165,82.7829,479.7736,108.2333,9.42887034416199,38037,61
10,"Arrow Lakes",2024,"07","32",442.1583,-0.245112101322914,419.5234,104.6118,469.7227,112.4563,9.42887034416199,38037,61
19,"Revelstoke",2017,"04","50",379.2857,0.0423427723689321,455,210.1921,369.7585,225.0018,11.9732576847076,6459,32
19,"Revelstoke",2017,"07","63",398.6494,0.146446625233727,462,216.6968,365.4176,226.9209,11.9732576847076,6459,32
19,"Revelstoke",2018,"04","76",444.4512,0.361334143417102,476,154.3991,361.6057,229.2767,10.9126792907715,23843,100
19,"Revelstoke",2018,"07","73",397.5,0.176396482587357,440.5,177.1198,356.6422,231.6248,10.9126792907715,23843,100
19,"Revelstoke",2019,"04","63",440.9855,0.316936902555854,455,163.4776,366.7404,234.2583,3.46162595748901,5,1
19,"Revelstoke",2019,"07","67",448.8,0.393214084186722,496,179.8963,357.1648,233.0415,3.46162595748901,5,1
19,"Revelstoke",2020,"04","77",453.3176,0.449177427845149,489,171.8003,338.5485,255.5095,4.79527943134308,143,10
19,"Revelstoke",2020,"07","57",457.619,0.54755603056345,490,177.8365,318.5741,253.9373,4.79527943134308,143,10
19,"Revelstoke",2021,"04","72",470.855,-0.173614856370119,469.0495,101.0485,490.3953,112.5497,14.5482980251312,46165,75
19,"Revelstoke",2021,"07","71",507.8901,0.286427035902297,515.9012,113.6899,474.0476,118.154,14.5482980251312,46165,75
19,"Revelstoke",2022,"04","99",511.5918,0.288116517709368,522.108,91.8424,479.387,111.777,5.62478404045105,2593,41
19,"Revelstoke",2022,"07","77",512.1172,0.381688511682032,516.0156,92.1683,468.296,114.8088,5.62478404045105,2593,41
19,"Revelstoke",2023,"04","92",496.8447,0.173290467958843,504.0633,103.1459,477.3267,112.6317,18.3709336280823,11370,48
19,"Revelstoke",2023,"07","91",490.4037,0.25842084304551,493.8277,100.7997,460.2924,116.5204,18.3709336280823,11370,48
