"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
5,"Southeast Kootenay",2017,"04","396",420.9338,446,137.5929,14.6904441356659,71143,39,0.227443958226112
6,"Rocky Mountain",2017,"04","268",453.2482,468,121.3503,13.1408330440521,64086,71,0.371062364834415
8,"Kootenay Lake",2017,"04","301",360.7241,426,204.1835,11.7619645118713,26208,65,-0.0401525676683476
10,"Arrow Lakes",2017,"04","Msk",387.4815,488,225.9837,10.9250835418701,13292,49,0.0787682587428187
19,"Revelstoke",2017,"04","50",379.2857,455,210.1921,11.9732576847076,6861,41,0.0423427723689321
20,"Kootenay-Columbia",2017,"04","132",216.3659,0,240.956,12.9097713470459,5658,29,-0.681739434973409
22,"Vernon",2017,"04","578",398.7214,433,178.5222,12.2126008033752,9176,47,0.128722970216238
23,"Central Okanagan",2017,"04","1245",332.7934,416,226.5752,12.4643644332886,19202,29,-0.164288019029181
27,"Cariboo-Chilcotin",2017,"04","323",399.3207,412,129.0022,24.699343919754,922743,85,0.13138650446352
28,"Quesnel",2017,"04","181",294.1102,347,195.1203,38.1033762931824,703634,75,-0.336211976970851
33,"Chilliwack",2017,"04","927",416.3516,451,169.3069,7.18340225219727,13992,7,0.207078787814142
34,"Abbotsford",2017,"04","1365",438.9781,460,148.5628,7.37585678100586,188,5,0.307640205545022
35,"Langley",2017,"04","1269",401.4256,463,200.6304,7.6218918800354,188,5,0.140741540734341
36,"Surrey",2017,"04","3589",298.6037,384,232.0323,7.98386421203613,187,4,-0.316241025627351
37,"Delta",2017,"04","828",352.4995,430,221.3538,9.32007856369018,6,4,-0.0767060530182426
38,"Richmond",2017,"04","873",334.8769,450,262.4874,9.45453939437866,6,3,-0.155028093108589
39,"Vancouver",2017,"04","2025",276.5051,356,259.0575,8.98673791885376,21,4,-0.414456239905636
40,"New Westminster",2017,"04","404",386.2851,447,213.0177,7.04145193099976,3,2,0.0734509679478118
41,"Burnaby",2017,"04","1239",349.1842,440,242.1269,7.13312187194824,3,2,-0.0914406018085191
42,"Maple Ridge-Pitt Meadows",2017,"04","414",163.2766,0,223.3596,6.58701343536377,191,6,-0.917689991813399
43,"Coquitlam",2017,"04","1810",385.0761,447,205.1653,7.08574075698853,187,4,0.0680776776008013
44,"North Vancouver",2017,"04","1122",470.5467,497,152.0433,6.78213005065918,3,2,0.447943972003779
45,"West Vancouver",2017,"04","424",525.8095,597,213.9574,7.78619346618652,3,1,0.693554451564387
46,"Sunshine Coast",2017,"04","225",419.0264,479,192.3499,8.22202930450439,25,8,0.218966692710903
47,"qathet",2017,"04","118",326.7032,398,196.1057,7.65931816101074,23,8,-0.191355358046025
48,"Sea to Sky",2017,"04","363",404.7665,459,183.9551,7.28195652961731,181046,13,0.15558986639218
49,"Central Coast",2017,"04","23",381.1923,394,177.5525,6.5135283946991,441729,7,0.0508164823570299
50,"Haida Gwaii",2017,"04","28",381.1212,430,175.9749,3.18260130882263,0,0,0.0505004848850096
51,"Boundary",2017,"04","53",287.881,393.5,232.3528,13.028383731842,16440,37,-0.36389708882329
52,"Prince Rupert",2017,"04","137",401,400,119.7767,3.09485187530518,0,0,0.138850000311109
53,"Okanagan Similkameen",2017,"04","181",442.0923,468,151.4596,22.8743590831757,18916,20,0.321480983707686
54,"Bulkley Valley",2017,"04","133",467.087,472,128.2136,4.31452860832214,210,7,0.432567650569906
57,"Prince George",2017,"04","936",410.3009,423,141.0195,8.16443724632263,453970,72,0.180187002948421
58,"Nicola-Similkameen",2017,"04","129",428.7483,453,171.5936,15.0864860057831,198308,40,0.262174791490557
59,"Peace River South",2017,"04","261",450.5091,467,137.3313,5.14294891357422,581,14,0.35888868444608
60,"Peace River North",2017,"04","473",457.5178,470,152.1689,3.93157362937927,470,16,0.390038213027629
61,"Greater Victoria",2017,"04","997",307.302,396,235.3798,8.37495079040527,3,2,-0.277582223786654
62,"Sooke",2017,"04","319",175.3034,0,228.6431,5.18103227615356,19,4,-0.864237974985089
63,"Saanich",2017,"04","360",383.0022,458,219.7258,7.15465593338013,3,2,0.0588604180055448
64,"Gulf Islands",2017,"04","65",243.6176,0,262.3848,7.74830913543701,18,3,-0.560621737248324
67,"Okanagan Skaha",2017,"04","387",453.2948,469,135.1002,13.1425912857056,18928,23,0.37126947428865
68,"Nanaimo-Ladysmith",2017,"04","742",293.5357,370,221.1089,7.02901539802551,24,7,-0.338765289877681
69,"Qualicum",2017,"04","296",404.5368,435,155.3162,7.13340711593628,24,8,0.154568985670337
70,"Pacific Rim",2017,"04","263",438.75,437.5,143.9757,4.65929574966431,21,7,0.306626435877402
71,"Comox Valley",2017,"04","545",392.6092,447,189.083,6.21878819465637,19,6,0.101557854203833
72,"Campbell River",2017,"04","401",382.2495,416,165.7871,7.59738283157349,24893,10,0.055515111434664
73,"Kamloops-Thompson",2017,"04","1005",429.4825,457,154.7586,14.3830002784729,209031,71,0.265437876496988
74,"Gold Trail",2017,"04","86",367.4659,363.5,108.816,13.2089817047119,428476,40,-0.010189251819319
75,"Mission",2017,"04","356",328.0907,395,211.9319,6.52634077072144,192,8,-0.185188740712297
78,"Fraser-Cascade",2017,"04","113",332.366,380,215.9159,8.42314310073852,194997,18,-0.166187559388414
79,"Cowichan Valley",2017,"04","336",252.0051,338.5,227.2695,4.94328417778015,21,6,-0.523344257690383
81,"Fort Nelson",2017,"04","57",574.3898,598,128.0403,4.51610283851624,3779,17,0.909465168723095
82,"Coast Mountains",2017,"04","265",362.2045,399,171.7794,3.70822887420654,232,4,-0.0335730647488155
83,"K̓wsaltktnéws ne Secwepemcúl’ecw",2017,"04","445",422.8093,443,132.7808,13.4093273162842,8841,47,0.235779447097756
84,"Vancouver Island West",2017,"04","26",283.2353,304,193.3018,4.4329674243927,96,6,-0.384544479199722
85,"Vancouver Island North",2017,"04","94",427.7333,459,172.6304,6.16523199081421,31466,7,0.257663716468046
87,"Stikine",2017,"04","Msk",165.8182,0,232.9394,2.9243688583374,204,5,-0.906394082180676
91,"Nechako Lakes",2017,"04","243",362.8357,393,183.1484,4.86771893501282,453095,50,-0.0307677538579694
92,"Nisga'a",2017,"04","34",356.5278,356.5,121.829,3.017711353302,0,0,-0.0588026406899856
5,"Southeast Kootenay",2017,"07","407",398.3034,415,138.8085,14.6904441356659,71143,39,0.144921864843653
6,"Rocky Mountain",2017,"07","234",436.7976,468,143.0477,13.1408330440521,64086,71,0.314558949836705
8,"Kootenay Lake",2017,"07","270",349.8125,411.5,193.1341,11.7619645118713,26208,65,-0.068768897003317
10,"Arrow Lakes",2017,"07","Msk",297.2,329,232.3532,10.9250835418701,13292,49,-0.300622816144304
19,"Revelstoke",2017,"07","63",398.6494,462,216.6968,11.9732576847076,6861,41,0.146446625233727
20,"Kootenay-Columbia",2017,"07","150",245.1474,261,244.9145,12.9097713470459,5658,29,-0.530009355682971
22,"Vernon",2017,"07","587",411.705,440,157.181,12.2126008033752,9176,47,0.203980329709604
23,"Central Okanagan",2017,"07","1048",286.1175,377,228.1123,12.4643644332886,19202,29,-0.349461420257015
27,"Cariboo-Chilcotin",2017,"07","310",385.1015,404,140.4909,24.699343919754,922743,85,0.0867434423184466
28,"Quesnel",2017,"07","100",177.7661,0,205.8576,38.1033762931824,703634,75,-0.826946746641671
33,"Chilliwack",2017,"07","795",365.5584,420.5,192.529,7.18340225219727,13992,7,0.000620480528677671
34,"Abbotsford",2017,"07","1296",441.9279,458,138.3764,7.37585678100586,188,5,0.337167268418202
35,"Langley",2017,"07","1208",376.0404,445,213.2923,7.6218918800354,188,5,0.0468127880684414
36,"Surrey",2017,"07","3702",325.8893,412,233.615,7.98386421203613,187,4,-0.174194179557723
37,"Delta",2017,"07","772",331.052,418,229.2676,9.32007856369018,6,4,-0.151443079945479
38,"Richmond",2017,"07","941",356.285,470,264.8873,9.45453939437866,6,3,-0.0402457420184741
39,"Vancouver",2017,"07","1957",282.1475,364.5,269.5104,8.98673791885376,21,4,-0.366956503345439
40,"New Westminster",2017,"07","410",401.5198,448,191.6052,7.04145193099976,3,2,0.159095966920632
41,"Burnaby",2017,"07","1204",367.9535,461,244.7525,7.13312187194824,3,2,0.0111752597491021
42,"Maple Ridge-Pitt Meadows",2017,"07","257",121.6411,0,210.4702,6.58701343536377,191,6,-1.07427962783507
43,"Coquitlam",2017,"07","1879",392.6883,449,206.3805,7.08574075698853,187,4,0.120177118987277
44,"North Vancouver",2017,"07","1119",473.7913,500,147.7303,6.78213005065918,3,2,0.477583598513843
45,"West Vancouver",2017,"07","474",527.4646,571,186.0091,7.78619346618652,3,1,0.714112274365208
46,"Sunshine Coast",2017,"07","220",450.3429,488,175.3877,8.22202930450439,25,8,0.37425067501495
