"year","DISTRICT_NUMBER","DISTRICT_NAME","SUB_POPULATION","GRADE","FSA_SKILL_CODE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE"
2017,5,"Southeast Kootenay","All Students","04","Numeracy","396",420.9338,446,137.5929
2017,6,"Rocky Mountain","All Students","04","Numeracy","268",453.2482,468,121.3503
2017,8,"Kootenay Lake","All Students","04","Numeracy","301",360.7241,426,204.1835
2017,10,"Arrow Lakes","All Students","04","Numeracy","Msk",387.4815,488,225.9837
2017,19,"Revelstoke","All Students","04","Numeracy","50",379.2857,455,210.1921
2017,20,"Kootenay-Columbia","All Students","04","Numeracy","132",216.3659,0,240.956
2017,22,"Vernon","All Students","04","Numeracy","578",398.7214,433,178.5222
2017,23,"Central Okanagan","All Students","04","Numeracy","1245",332.7934,416,226.5752
2017,27,"Cariboo-Chilcotin","All Students","04","Numeracy","323",399.3207,412,129.0022
2017,28,"Quesnel","All Students","04","Numeracy","181",294.1102,347,195.1203
2017,33,"Chilliwack","All Students","04","Numeracy","927",416.3516,451,169.3069
2017,34,"Abbotsford","All Students","04","Numeracy","1365",438.9781,460,148.5628
2017,35,"Langley","All Students","04","Numeracy","1269",401.4256,463,200.6304
2017,36,"Surrey","All Students","04","Numeracy","3589",298.6037,384,232.0323
2017,37,"Delta","All Students","04","Numeracy","828",352.4995,430,221.3538
2017,38,"Richmond","All Students","04","Numeracy","873",334.8769,450,262.4874
2017,39,"Vancouver","All Students","04","Numeracy","2025",276.5051,356,259.0575
2017,40,"New Westminster","All Students","04","Numeracy","404",386.2851,447,213.0177
2017,41,"Burnaby","All Students","04","Numeracy","1239",349.1842,440,242.1269
2017,42,"Maple Ridge-Pitt Meadows","All Students","04","Numeracy","414",163.2766,0,223.3596
2017,43,"Coquitlam","All Students","04","Numeracy","1810",385.0761,447,205.1653
2017,44,"North Vancouver","All Students","04","Numeracy","1122",470.5467,497,152.0433
2017,45,"West Vancouver","All Students","04","Numeracy","424",525.8095,597,213.9574
2017,46,"Sunshine Coast","All Students","04","Numeracy","225",419.0264,479,192.3499
2017,47,"qathet","All Students","04","Numeracy","118",326.7032,398,196.1057
2017,48,"Sea to Sky","All Students","04","Numeracy","363",404.7665,459,183.9551
2017,49,"Central Coast","All Students","04","Numeracy","23",381.1923,394,177.5525
2017,50,"Haida Gwaii","All Students","04","Numeracy","28",381.1212,430,175.9749
2017,51,"Boundary","All Students","04","Numeracy","53",287.881,393.5,232.3528
2017,52,"Prince Rupert","All Students","04","Numeracy","137",401,400,119.7767
2017,53,"Okanagan Similkameen","All Students","04","Numeracy","181",442.0923,468,151.4596
2017,54,"Bulkley Valley","All Students","04","Numeracy","133",467.087,472,128.2136
2017,57,"Prince George","All Students","04","Numeracy","936",410.3009,423,141.0195
2017,58,"Nicola-Similkameen","All Students","04","Numeracy","129",428.7483,453,171.5936
2017,59,"Peace River South","All Students","04","Numeracy","261",450.5091,467,137.3313
2017,60,"Peace River North","All Students","04","Numeracy","473",457.5178,470,152.1689
2017,61,"Greater Victoria","All Students","04","Numeracy","997",307.302,396,235.3798
2017,62,"Sooke","All Students","04","Numeracy","319",175.3034,0,228.6431
2017,63,"Saanich","All Students","04","Numeracy","360",383.0022,458,219.7258
2017,64,"Gulf Islands","All Students","04","Numeracy","65",243.6176,0,262.3848
2017,67,"Okanagan Skaha","All Students","04","Numeracy","387",453.2948,469,135.1002
2017,68,"Nanaimo-Ladysmith","All Students","04","Numeracy","742",293.5357,370,221.1089
2017,69,"Qualicum","All Students","04","Numeracy","296",404.5368,435,155.3162
2017,70,"Pacific Rim","All Students","04","Numeracy","263",438.75,437.5,143.9757
2017,71,"Comox Valley","All Students","04","Numeracy","545",392.6092,447,189.083
2017,72,"Campbell River","All Students","04","Numeracy","401",382.2495,416,165.7871
2017,73,"Kamloops-Thompson","All Students","04","Numeracy","1005",429.4825,457,154.7586
2017,74,"Gold Trail","All Students","04","Numeracy","86",367.4659,363.5,108.816
2017,75,"Mission","All Students","04","Numeracy","356",328.0907,395,211.9319
2017,78,"Fraser-Cascade","All Students","04","Numeracy","113",332.366,380,215.9159
2017,79,"Cowichan Valley","All Students","04","Numeracy","336",252.0051,338.5,227.2695
2017,81,"Fort Nelson","All Students","04","Numeracy","57",574.3898,598,128.0403
2017,82,"Coast Mountains","All Students","04","Numeracy","265",362.2045,399,171.7794
2017,83,"K̓wsaltktnéws ne Secwepemcúl’ecw","All Students","04","Numeracy","445",422.8093,443,132.7808
2017,84,"Vancouver Island West","All Students","04","Numeracy","26",283.2353,304,193.3018
2017,85,"Vancouver Island North","All Students","04","Numeracy","94",427.7333,459,172.6304
2017,87,"Stikine","All Students","04","Numeracy","Msk",165.8182,0,232.9394
2017,91,"Nechako Lakes","All Students","04","Numeracy","243",362.8357,393,183.1484
2017,92,"Nisga'a","All Students","04","Numeracy","34",356.5278,356.5,121.829
2017,5,"Southeast Kootenay","All Students","07","Numeracy","407",398.3034,415,138.8085
2017,6,"Rocky Mountain","All Students","07","Numeracy","234",436.7976,468,143.0477
2017,8,"Kootenay Lake","All Students","07","Numeracy","270",349.8125,411.5,193.1341
2017,10,"Arrow Lakes","All Students","07","Numeracy","Msk",297.2,329,232.3532
2017,19,"Revelstoke","All Students","07","Numeracy","63",398.6494,462,216.6968
2017,20,"Kootenay-Columbia","All Students","07","Numeracy","150",245.1474,261,244.9145
2017,22,"Vernon","All Students","07","Numeracy","587",411.705,440,157.181
2017,23,"Central Okanagan","All Students","07","Numeracy","1048",286.1175,377,228.1123
2017,27,"Cariboo-Chilcotin","All Students","07","Numeracy","310",385.1015,404,140.4909
2017,28,"Quesnel","All Students","07","Numeracy","100",177.7661,0,205.8576
2017,33,"Chilliwack","All Students","07","Numeracy","795",365.5584,420.5,192.529
2017,34,"Abbotsford","All Students","07","Numeracy","1296",441.9279,458,138.3764
2017,35,"Langley","All Students","07","Numeracy","1208",376.0404,445,213.2923
2017,36,"Surrey","All Students","07","Numeracy","3702",325.8893,412,233.615
2017,37,"Delta","All Students","07","Numeracy","772",331.052,418,229.2676
2017,38,"Richmond","All Students","07","Numeracy","941",356.285,470,264.8873
2017,39,"Vancouver","All Students","07","Numeracy","1957",282.1475,364.5,269.5104
2017,40,"New Westminster","All Students","07","Numeracy","410",401.5198,448,191.6052
2017,41,"Burnaby","All Students","07","Numeracy","1204",367.9535,461,244.7525
2017,42,"Maple Ridge-Pitt Meadows","All Students","07","Numeracy","257",121.6411,0,210.4702
2017,43,"Coquitlam","All Students","07","Numeracy","1879",392.6883,449,206.3805
2017,44,"North Vancouver","All Students","07","Numeracy","1119",473.7913,500,147.7303
2017,45,"West Vancouver","All Students","07","Numeracy","474",527.4646,571,186.0091
2017,46,"Sunshine Coast","All Students","07","Numeracy","220",450.3429,488,175.3877
2017,47,"qathet","All Students","07","Numeracy","108",349.6547,428,204.1713
2017,48,"Sea to Sky","All Students","07","Numeracy","312",425.0427,435,134.5353
2017,49,"Central Coast","All Students","07","Numeracy","21",304.5185,350,196.6892
2017,50,"Haida Gwaii","All Students","07","Numeracy","38",359.9333,412,170.4753
2017,51,"Boundary","All Students","07","Numeracy","78",362.396,430,212.6129
2017,52,"Prince Rupert","All Students","07","Numeracy","102",344.552,395,181.5676
2017,53,"Okanagan Similkameen","All Students","07","Numeracy","144",421.6564,454,174.5803
2017,54,"Bulkley Valley","All Students","07","Numeracy","123",456.7923,465.5,145.0845
2017,57,"Prince George","All Students","07","Numeracy","873",404.2996,416,137.9422
2017,58,"Nicola-Similkameen","All Students","07","Numeracy","156",417.7485,441,157.0484
2017,59,"Peace River South","All Students","07","Numeracy","252",436.4701,456.5,138.3859
2017,60,"Peace River North","All Students","07","Numeracy","386",425.7242,448,152.354
2017,61,"Greater Victoria","All Students","07","Numeracy","892",301.7981,391,234.9946
2017,62,"Sooke","All Students","07","Numeracy","212",116.1841,0,198.545
2017,63,"Saanich","All Students","07","Numeracy","345",303.5387,408,248.6767
2017,64,"Gulf Islands","All Students","07","Numeracy","54",215.8158,0,235.6717
2017,67,"Okanagan Skaha","All Students","07","Numeracy","427",430.6826,436.5,107.1576
2017,68,"Nanaimo-Ladysmith","All Students","07","Numeracy","649",274.8464,344,231.5579
2017,69,"Qualicum","All Students","07","Numeracy","286",402.2384,443,166.09
2017,70,"Pacific Rim","All Students","07","Numeracy","261",430.6509,449,138.0235
2017,71,"Comox Valley","All Students","07","Numeracy","497",377.6459,427,198.2775
2017,72,"Campbell River","All Students","07","Numeracy","250",285.314,355,207.8311
2017,73,"Kamloops-Thompson","All Students","07","Numeracy","970",425.2294,447,153.3592
2017,74,"Gold Trail","All Students","07","Numeracy","96",371.2358,388.5,144.2799
2017,75,"Mission","All Students","07","Numeracy","382",364.4051,395,156.0146
2017,78,"Fraser-Cascade","All Students","07","Numeracy","96",270.9643,336.5,201.0177
2017,79,"Cowichan Valley","All Students","07","Numeracy","320",252.9231,327,230.8996
2017,81,"Fort Nelson","All Students","07","Numeracy","48",484.8214,556.5,207.1062
2017,82,"Coast Mountains","All Students","07","Numeracy","202",235.8216,311,209.6747
2017,83,"K̓wsaltktnéws ne Secwepemcúl’ecw","All Students","07","Numeracy","437",390.4062,418,154.1623
2017,84,"Vancouver Island West","All Students","07","Numeracy","Msk",273.88,345,167.9879
2017,85,"Vancouver Island North","All Students","07","Numeracy","90",390.7129,427,161.2596
2017,87,"Stikine","All Students","07","Numeracy","Msk",226.0909,343,185.777
2017,91,"Nechako Lakes","All Students","07","Numeracy","219",330.5842,388,191.1106
2017,92,"Nisga'a","All Students","07","Numeracy","32",307.8,314,116.8541
2018,5,"Southeast Kootenay","All Students","04","Numeracy","388",397.5348,440,175.1103
2018,6,"Rocky Mountain","All Students","04","Numeracy","272",451.1601,460,124.1724
2018,8,"Kootenay Lake","All Students","04","Numeracy","307",358.6796,427,204.0386
2018,10,"Arrow Lakes","All Students","04","Numeracy","28",369.9444,455,226.3976
2018,19,"Revelstoke","All Students","04","Numeracy","76",444.4512,476,154.3991
2018,20,"Kootenay-Columbia","All Students","04","Numeracy","136",226.7722,0,243.6712
2018,22,"Vernon","All Students","04","Numeracy","598",399.428,451,181.6904
2018,23,"Central Okanagan","All Students","04","Numeracy","1350",361.9404,445,222.6969
2018,27,"Cariboo-Chilcotin","All Students","04","Numeracy","336",405.9368,431,151.377
2018,28,"Quesnel","All Students","04","Numeracy","151",219.9486,241,198.9039
2018,33,"Chilliwack","All Students","04","Numeracy","997",424.0081,454,168.9602
2018,34,"Abbotsford","All Students","04","Numeracy","1425",441.7021,461,142.2186
2018,35,"Langley","All Students","04","Numeracy","1480",425.8438,464,169.5468
2018,36,"Surrey","All Students","04","Numeracy","3425",285.7478,365,234.6624
2018,37,"Delta","All Students","04","Numeracy","890",380.6993,451,206.8469
2018,38,"Richmond","All Students","04","Numeracy","833",313.5968,420,274.2494
2018,39,"Vancouver","All Students","04","Numeracy","1944",265.7451,316.5,260.0563
2018,40,"New Westminster","All Students","04","Numeracy","367",331.2464,437,252.6588
2018,41,"Burnaby","All Students","04","Numeracy","1127",327.7866,446,259.2241
2018,42,"Maple Ridge-Pitt Meadows","All Students","04","Numeracy","330",134.3735,0,213.6147
2018,43,"Coquitlam","All Students","04","Numeracy","1791",356.658,436,221.7337
2018,44,"North Vancouver","All Students","04","Numeracy","991",424.286,474,187.8261
2018,45,"West Vancouver","All Students","04","Numeracy","466",501.6654,564,211.9371
2018,46,"Sunshine Coast","All Students","04","Numeracy","226",391.5824,448,199.8279
2018,47,"qathet","All Students","04","Numeracy","127",327.8659,373,202.1571
2018,48,"Sea to Sky","All Students","04","Numeracy","358",414.6558,445.5,164.7073
2018,49,"Central Coast","All Students","04","Numeracy","Msk",233.381,302,181.7824
2018,50,"Haida Gwaii","All Students","04","Numeracy","26",376.2258,425,187.0302
2018,51,"Boundary","All Students","04","Numeracy","66",361.3596,454,227.1927
2018,52,"Prince Rupert","All Students","04","Numeracy","131",382.9034,413,154.7972
2018,53,"Okanagan Similkameen","All Students","04","Numeracy","138",420.5232,452,154.7956
2018,54,"Bulkley Valley","All Students","04","Numeracy","146",407.1392,421.5,158.7078
2018,57,"Prince George","All Students","04","Numeracy","970",394.2733,424,156.0446
2018,58,"Nicola-Similkameen","All Students","04","Numeracy","132",378.1333,408,171.2035
2018,59,"Peace River South","All Students","04","Numeracy","244",419.7556,444,158.7981
2018,60,"Peace River North","All Students","04","Numeracy","476",418.2539,437,140.5726
2018,61,"Greater Victoria","All Students","04","Numeracy","799",257.9489,318.5,253.5494
2018,62,"Sooke","All Students","04","Numeracy","314",172.4994,0,229.4617
2018,63,"Saanich","All Students","04","Numeracy","350",360.8917,450,227.2838
2018,64,"Gulf Islands","All Students","04","Numeracy","56",228.6935,0,261.3746
2018,67,"Okanagan Skaha","All Students","04","Numeracy","425",456.4717,477,126.5759
2018,68,"Nanaimo-Ladysmith","All Students","04","Numeracy","753",297.6785,372,225.9251
2018,69,"Qualicum","All Students","04","Numeracy","268",377.1175,425,178.9346
2018,70,"Pacific Rim","All Students","04","Numeracy","295",428.7418,443,125.6859
2018,71,"Comox Valley","All Students","04","Numeracy","424",316.5016,410.5,234.7148
2018,72,"Campbell River","All Students","04","Numeracy","367",379.7512,423,185.1064
2018,73,"Kamloops-Thompson","All Students","04","Numeracy","1154",447.316,466,136.4456
2018,74,"Gold Trail","All Students","04","Numeracy","75",381.6627,421,145.9889
2018,75,"Mission","All Students","04","Numeracy","375",364.9814,436,213.2306
2018,78,"Fraser-Cascade","All Students","04","Numeracy","82",257.9209,320,226.8483
2018,79,"Cowichan Valley","All Students","04","Numeracy","307",223.9354,240.5,226.5825
2018,81,"Fort Nelson","All Students","04","Numeracy","55",554.8525,603,195.231
2018,82,"Coast Mountains","All Students","04","Numeracy","262",350.2539,405,186.2686
2018,83,"K̓wsaltktnéws ne Secwepemcúl’ecw","All Students","04","Numeracy","458",403.5787,435,159.5802
2018,84,"Vancouver Island West","All Students","04","Numeracy","17",330.5714,341,206.1258
2018,85,"Vancouver Island North","All Students","04","Numeracy","84",426.1935,464,165.2111
2018,87,"Stikine","All Students","04","Numeracy","Msk",220.9231,251,230.8129
2018,91,"Nechako Lakes","All Students","04","Numeracy","206",360.0315,400.5,198.2035
2018,92,"Nisga'a","All Students","04","Numeracy","30",301.3429,311,143.9593
2018,5,"Southeast Kootenay","All Students","07","Numeracy","396",385.0852,416,160.7237
2018,6,"Rocky Mountain","All Students","07","Numeracy","230",465.6639,484,129.6993
2018,8,"Kootenay Lake","All Students","07","Numeracy","313",352.2088,406.5,193.9333
2018,10,"Arrow Lakes","All Students","07","Numeracy","31",397.1053,477,209.2674
2018,19,"Revelstoke","All Students","07","Numeracy","73",397.5,440.5,177.1198
2018,20,"Kootenay-Columbia","All Students","07","Numeracy","144",220.6041,0,234.0114
2018,22,"Vernon","All Students","07","Numeracy","568",410.6698,452,167.0276
2018,23,"Central Okanagan","All Students","07","Numeracy","1012",264.3178,350,228.6274
