"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Arrow Lakes",10,2017,1,6.28756999969482
"Revelstoke",19,2017,1,5.14208698272705
"Kootenay-Columbia",20,2017,1,6.55263519287109
"Vernon",22,2017,1,7.13920068740845
"Central Okanagan",23,2017,1,7.90688991546631
"Cariboo-Chilcotin",27,2017,1,5.44854307174683
"Quesnel",28,2017,1,6.47823190689087
"Chilliwack",33,2017,1,6.05435466766357
"Abbotsford",34,2017,1,7.83086729049683
"Langley",35,2017,1,7.76424503326416
"Surrey",36,2017,1,7.65916728973389
"Delta",37,2017,1,6.77345418930054
"Richmond",38,2017,1,6.79819488525391
"Vancouver",39,2017,1,6.8451886177063
"New Westminster",40,2017,1,7.31839895248413
"Burnaby",41,2017,1,7.19476318359375
"Maple-Ridge Pitt-Meadows",42,2017,1,6.66518068313599
"Coquitlam",43,2017,1,7.70041608810425
"North Vancouver",44,2017,1,7.95034122467041
"West Vancouver",45,2017,1,6.87738704681396
"Sunshine Coast",46,2017,1,5.9978928565979
"Powell RIver",47,2017,1,5.20318651199341
"Sea to Sky",48,2017,1,5.32391786575317
"South East Kootenay",5,2017,1,6.37034511566162
"Haida Gwaii",50,2017,1,3.86732888221741
"Boundary",51,2017,1,6.64030456542969
"Prince Rupert",52,2017,1,3.79025554656982
"Bulkley Valley",54,2017,1,4.8605318069458
"Prince George",57,2017,1,6.61037254333496
"Nicola-Similkameen",58,2017,1,6.15816879272461
"Peace River South",59,2017,1,5.60163927078247
"Rocky Mountain",6,2017,1,4.1650767326355
"Peace River North",60,2017,1,4.68892288208008
"Victoria",61,2017,1,7.50994920730591
"Sooke",62,2017,1,6.40964460372925
"Saanich",63,2017,1,7.27472925186157
"Gulf Islands",64,2017,1,6.6085033416748
"Nanaimo-Ladysmith",68,2017,1,6.12812042236328
"Qualicum",69,2017,1,6.55916786193848
"Pacific Rim",70,2017,1,5.32928371429443
"Comox Valley",71,2017,1,5.73463582992554
"Campbell River",72,2017,1,4.56064558029175
"Kamloops-Thompson",73,2017,1,6.44331359863281
"Gold Trail",74,2017,1,5.39738941192627
"Mission",75,2017,1,7.12751293182373
"Fraser-Cascade",78,2017,1,6.32455778121948
"Cowichan",79,2017,1,5.44762229919434
"Kootenay Lake",8,2017,1,5.40019750595093
"Fort Nelson",81,2017,1,4.80849599838257
"Coast Mountains",82,2017,1,4.11203956604004
"Okanagan-Shuswap",83,2017,1,7.23497295379639
"Vancouver Island West",84,2017,1,4.07468605041504
"Vancouver Island North",85,2017,1,4.19587182998657
"Stikine",87,2017,1,2.62153959274292
"Nechako Lakes",91,2017,1,5.65770292282104
"Nisgaa",92,2017,1,4.50207710266113
"Central Coast",49,2017,1,4.02288103103638
"Okanagan-Skaha",67,2017,1,7.25264358520508
"Okanagan-Similkameen",53,2017,1,5.9428186416626
"Arrow Lakes",10,2017,2,6.15991020202637
"Revelstoke",19,2017,2,5.60746383666992
"Kootenay-Columbia",20,2017,2,6.67275190353394
"Vernon",22,2017,2,6.84584093093872
"Central Okanagan",23,2017,2,7.91235208511353
"Cariboo-Chilcotin",27,2017,2,5.57755422592163
"Quesnel",28,2017,2,6.33464336395264
"Chilliwack",33,2017,2,6.27721309661865
"Abbotsford",34,2017,2,6.31442880630493
"Langley",35,2017,2,6.42417621612549
"Surrey",36,2017,2,6.28490591049194
"Delta",37,2017,2,6.00098657608032
"Richmond",38,2017,2,6.10279655456543
"Vancouver",39,2017,2,5.96084594726562
"New Westminster",40,2017,2,6.38474702835083
"Burnaby",41,2017,2,6.1696081161499
"Maple-Ridge Pitt-Meadows",42,2017,2,6.9872612953186
"Coquitlam",43,2017,2,7.1004319190979
"North Vancouver",44,2017,2,6.82661628723145
"West Vancouver",45,2017,2,5.8879919052124
"Sunshine Coast",46,2017,2,5.32282161712646
"Powell RIver",47,2017,2,4.5616455078125
"Sea to Sky",48,2017,2,5.61392593383789
"South East Kootenay",5,2017,2,5.6761302947998
"Haida Gwaii",50,2017,2,2.36899971961975
"Boundary",51,2017,2,5.97723388671875
"Prince Rupert",52,2017,2,3.832683801651
"Bulkley Valley",54,2017,2,5.81121873855591
"Prince George",57,2017,2,5.68332290649414
"Nicola-Similkameen",58,2017,2,6.69284629821777
"Peace River South",59,2017,2,4.37981939315796
"Rocky Mountain",6,2017,2,4.73029279708862
"Peace River North",60,2017,2,3.69413661956787
"Victoria",61,2017,2,5.37235355377197
"Sooke",62,2017,2,4.48821020126343
"Saanich",63,2017,2,5.1736011505127
"Gulf Islands",64,2017,2,5.36568307876587
"Nanaimo-Ladysmith",68,2017,2,5.21263027191162
"Qualicum",69,2017,2,4.88869428634644
"Pacific Rim",70,2017,2,4.6993088722229
"Comox Valley",71,2017,2,4.37615156173706
"Campbell River",72,2017,2,4.22874689102173
