"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","pm25"
5,"South East Kootenay",2017,14.6904441356659
5,"South East Kootenay",2018,12.6376718997955
5,"South East Kootenay",2019,3.48403811454773
5,"South East Kootenay",2020,6.66846604347229
5,"South East Kootenay",2021,10.5459211349487
5,"South East Kootenay",2022,6.76822457313538
5,"South East Kootenay",2023,14.7323289871216
5,"South East Kootenay",2024,7.16253352165222
6,"Rocky Mountain",2017,13.1408330440521
6,"Rocky Mountain",2018,11.2446471691132
6,"Rocky Mountain",2019,2.75054051876068
6,"Rocky Mountain",2020,5.47951946258545
6,"Rocky Mountain",2021,12.7074829101562
6,"Rocky Mountain",2022,5.6676411151886
6,"Rocky Mountain",2023,18.7983540534973
6,"Rocky Mountain",2024,9.13648838996887
8,"Kootenay Lake",2017,11.7619645118713
8,"Kootenay Lake",2018,12.8882201194763
8,"Kootenay Lake",2019,3.2307345867157
8,"Kootenay Lake",2020,6.74480419158936
8,"Kootenay Lake",2021,15.547477722168
8,"Kootenay Lake",2022,7.2078902721405
8,"Kootenay Lake",2023,16.8395694732666
8,"Kootenay Lake",2024,9.20313897132874
10,"Arrow Lakes",2017,10.9250835418701
10,"Arrow Lakes",2018,11.3472407341003
10,"Arrow Lakes",2019,3.53605999946594
10,"Arrow Lakes",2020,6.31125683784485
10,"Arrow Lakes",2021,15.6980261325836
10,"Arrow Lakes",2022,5.26500639915466
10,"Arrow Lakes",2023,16.5972396850586
10,"Arrow Lakes",2024,9.42887034416199
19,"Revelstoke",2017,11.9732576847076
19,"Revelstoke",2018,10.9126792907715
19,"Revelstoke",2019,3.46162595748901
19,"Revelstoke",2020,4.79527943134308
19,"Revelstoke",2021,14.5482980251312
19,"Revelstoke",2022,5.62478404045105
19,"Revelstoke",2023,18.3709336280823
19,"Revelstoke",2024,8.9071063041687
20,"Kootenay-Columbia",2017,12.9097713470459
20,"Kootenay-Columbia",2018,16.2485754013062
20,"Kootenay-Columbia",2019,4.16724553108215
20,"Kootenay-Columbia",2020,7.39576601982117
20,"Kootenay-Columbia",2021,18.5052814006805
20,"Kootenay-Columbia",2022,6.62234983444214
