"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
5,2017,5,"South East Kootenay",0,0
5,2017,6,"South East Kootenay",39,1
5,2017,7,"South East Kootenay",1053,10
5,2017,8,"South East Kootenay",54249,17
5,2017,9,"South East Kootenay",486,3
5,2018,5,"South East Kootenay",5,1
5,2018,6,"South East Kootenay",68,6
5,2018,7,"South East Kootenay",21264,8
5,2018,8,"South East Kootenay",7645,13
5,2018,9,"South East Kootenay",0,0
5,2019,5,"South East Kootenay",3,2
5,2019,6,"South East Kootenay",57,4
5,2019,7,"South East Kootenay",38,2
5,2019,8,"South East Kootenay",0,0
5,2019,9,"South East Kootenay",0,0
5,2020,5,"South East Kootenay",0,0
5,2020,6,"South East Kootenay",0,0
5,2020,7,"South East Kootenay",7,2
5,2020,8,"South East Kootenay",7199,4
5,2020,9,"South East Kootenay",4,1
5,2021,5,"South East Kootenay",0,0
5,2021,6,"South East Kootenay",0,0
5,2021,7,"South East Kootenay",15698,16
5,2021,8,"South East Kootenay",294,2
5,2021,9,"South East Kootenay",0,0
5,2022,5,"South East Kootenay",0,0
5,2022,6,"South East Kootenay",0,0
5,2022,7,"South East Kootenay",1394,3
5,2022,8,"South East Kootenay",3754,16
5,2022,9,"South East Kootenay",0,0
5,2023,5,"South East Kootenay",57,4
5,2023,6,"South East Kootenay",6,2
5,2023,7,"South East Kootenay",19099,8
5,2023,8,"South East Kootenay",3559,4
5,2023,9,"South East Kootenay",8,1
5,2024,5,"South East Kootenay",5,2
5,2024,6,"South East Kootenay",4,1
5,2024,7,"South East Kootenay",18507,6
5,2024,8,"South East Kootenay",21,2
5,2024,9,"South East Kootenay",12,2
6,2017,5,"Rocky Mountain",0,0
6,2017,6,"Rocky Mountain",11941,5
6,2017,7,"Rocky Mountain",9971,24
6,2017,8,"Rocky Mountain",33838,18
6,2017,9,"Rocky Mountain",431,5
6,2018,5,"Rocky Mountain",5,1
6,2018,6,"Rocky Mountain",102,8
6,2018,7,"Rocky Mountain",25098,35
6,2018,8,"Rocky Mountain",20635,43
6,2018,9,"Rocky Mountain",0,0
6,2019,5,"Rocky Mountain",3,2
6,2019,6,"Rocky Mountain",6,2
6,2019,7,"Rocky Mountain",38,2
6,2019,8,"Rocky Mountain",0,0
6,2019,9,"Rocky Mountain",5,1
6,2020,5,"Rocky Mountain",0,0
6,2020,6,"Rocky Mountain",0,0
6,2020,7,"Rocky Mountain",1118,3
6,2020,8,"Rocky Mountain",7260,11
6,2020,9,"Rocky Mountain",4,1
6,2021,5,"Rocky Mountain",6,1
6,2021,6,"Rocky Mountain",0,0
6,2021,7,"Rocky Mountain",29190,56
6,2021,8,"Rocky Mountain",118,4
6,2021,9,"Rocky Mountain",0,0
6,2022,5,"Rocky Mountain",0,0
6,2022,6,"Rocky Mountain",69,1
6,2022,7,"Rocky Mountain",3308,6
6,2022,8,"Rocky Mountain",7052,44
6,2022,9,"Rocky Mountain",342,6
6,2023,5,"Rocky Mountain",1056,6
6,2023,6,"Rocky Mountain",7,1
6,2023,7,"Rocky Mountain",30870,33
6,2023,8,"Rocky Mountain",4257,11
6,2023,9,"Rocky Mountain",11,2
6,2024,5,"Rocky Mountain",5,2
6,2024,6,"Rocky Mountain",497,3
6,2024,7,"Rocky Mountain",49452,40
6,2024,8,"Rocky Mountain",138,12
6,2024,9,"Rocky Mountain",2,1
8,2017,5,"Kootenay Lake",2,1
8,2017,6,"Kootenay Lake",654,5
8,2017,7,"Kootenay Lake",10102,25
8,2017,8,"Kootenay Lake",5528,20
8,2017,9,"Kootenay Lake",384,4
8,2018,5,"Kootenay Lake",1,1
8,2018,6,"Kootenay Lake",0,0
8,2018,7,"Kootenay Lake",25409,34
8,2018,8,"Kootenay Lake",18813,43
8,2018,9,"Kootenay Lake",2,1
8,2019,5,"Kootenay Lake",3,2
8,2019,6,"Kootenay Lake",49,2
8,2019,7,"Kootenay Lake",38,2
8,2019,8,"Kootenay Lake",0,0
8,2019,9,"Kootenay Lake",5,1
8,2020,5,"Kootenay Lake",0,0
8,2020,6,"Kootenay Lake",0,0
8,2020,7,"Kootenay Lake",1113,2
8,2020,8,"Kootenay Lake",8500,14
8,2020,9,"Kootenay Lake",0,0
8,2021,5,"Kootenay Lake",12,2
8,2021,6,"Kootenay Lake",21,1
8,2021,7,"Kootenay Lake",67539,41
8,2021,8,"Kootenay Lake",561,8
8,2021,9,"Kootenay Lake",0,0
8,2022,5,"Kootenay Lake",0,0
8,2022,6,"Kootenay Lake",69,1
8,2022,7,"Kootenay Lake",1984,8
8,2022,8,"Kootenay Lake",6735,37
8,2022,9,"Kootenay Lake",334,4
8,2023,5,"Kootenay Lake",20,3
8,2023,6,"Kootenay Lake",0,0
8,2023,7,"Kootenay Lake",17564,24
8,2023,8,"Kootenay Lake",1457,15
8,2023,9,"Kootenay Lake",0,0
8,2024,5,"Kootenay Lake",5,2
8,2024,6,"Kootenay Lake",4,1
8,2024,7,"Kootenay Lake",37768,45
8,2024,8,"Kootenay Lake",97,12
8,2024,9,"Kootenay Lake",6,3
10,2017,5,"Arrow Lakes",7,2
10,2017,6,"Arrow Lakes",654,5
10,2017,7,"Arrow Lakes",8930,16
10,2017,8,"Arrow Lakes",2829,11
10,2017,9,"Arrow Lakes",2,1
10,2018,5,"Arrow Lakes",0,0
10,2018,6,"Arrow Lakes",0,0
10,2018,7,"Arrow Lakes",7779,32
10,2018,8,"Arrow Lakes",15789,42
10,2018,9,"Arrow Lakes",0,0
10,2019,5,"Arrow Lakes",0,0
10,2019,6,"Arrow Lakes",2,1
10,2019,7,"Arrow Lakes",0,0
10,2019,8,"Arrow Lakes",0,0
10,2019,9,"Arrow Lakes",10,2
