"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","burned_ha","fire_count"
5,"South East Kootenay",2017,55827,31
5,"South East Kootenay",2018,28982,28
5,"South East Kootenay",2019,98,8
5,"South East Kootenay",2020,7210,7
5,"South East Kootenay",2021,15992,18
5,"South East Kootenay",2022,5148,19
5,"South East Kootenay",2023,22729,19
5,"South East Kootenay",2024,18549,13
6,"Rocky Mountain",2017,56181,52
6,"Rocky Mountain",2018,45840,87
6,"Rocky Mountain",2019,52,7
6,"Rocky Mountain",2020,8382,15
6,"Rocky Mountain",2021,29314,61
6,"Rocky Mountain",2022,10771,57
6,"Rocky Mountain",2023,36201,53
6,"Rocky Mountain",2024,50094,58
8,"Kootenay Lake",2017,16670,55
8,"Kootenay Lake",2018,44225,79
8,"Kootenay Lake",2019,95,7
8,"Kootenay Lake",2020,9613,16
8,"Kootenay Lake",2021,68133,52
8,"Kootenay Lake",2022,9122,50
8,"Kootenay Lake",2023,19041,42
8,"Kootenay Lake",2024,37880,63
10,"Arrow Lakes",2017,12422,35
10,"Arrow Lakes",2018,23568,74
10,"Arrow Lakes",2019,12,3
10,"Arrow Lakes",2020,2446,12
10,"Arrow Lakes",2021,73236,52
10,"Arrow Lakes",2022,6812,47
10,"Arrow Lakes",2023,9643,40
10,"Arrow Lakes",2024,38037,61
19,"Revelstoke",2017,6459,32
19,"Revelstoke",2018,23843,100
19,"Revelstoke",2019,5,1
19,"Revelstoke",2020,143,10
19,"Revelstoke",2021,46165,75
19,"Revelstoke",2022,2593,41
19,"Revelstoke",2023,11370,48
19,"Revelstoke",2024,11890,70
20,"Kootenay-Columbia",2017,5035,15
20,"Kootenay-Columbia",2018,20963,34
20,"Kootenay-Columbia",2019,1,1
20,"Kootenay-Columbia",2020,1247,4
20,"Kootenay-Columbia",2021,59490,23
20,"Kootenay-Columbia",2022,2184,17
20,"Kootenay-Columbia",2023,177,10
20,"Kootenay-Columbia",2024,12396,21
22,"Vernon",2017,3629,25
22,"Vernon",2018,20265,83
22,"Vernon",2019,45,6
22,"Vernon",2020,1425,14
