"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","burned_ha_75km","fire_count_75km"
5,"South East Kootenay",2017,71143,39
5,"South East Kootenay",2018,29665,30
5,"South East Kootenay",2019,103,9
5,"South East Kootenay",2020,8323,9
5,"South East Kootenay",2021,17125,21
5,"South East Kootenay",2022,9106,28
5,"South East Kootenay",2023,26831,23
5,"South East Kootenay",2024,19089,17
6,"Rocky Mountain",2017,64086,71
6,"Rocky Mountain",2018,52689,118
6,"Rocky Mountain",2019,103,9
6,"Rocky Mountain",2020,9665,20
6,"Rocky Mountain",2021,40884,86
6,"Rocky Mountain",2022,11412,69
6,"Rocky Mountain",2023,41153,76
6,"Rocky Mountain",2024,60607,94
8,"Kootenay Lake",2017,26208,65
8,"Kootenay Lake",2018,50016,105
8,"Kootenay Lake",2019,104,10
8,"Kootenay Lake",2020,9623,18
8,"Kootenay Lake",2021,84386,78
8,"Kootenay Lake",2022,12044,70
8,"Kootenay Lake",2023,33944,59
8,"Kootenay Lake",2024,57714,77
10,"Arrow Lakes",2017,13292,49
10,"Arrow Lakes",2018,42319,99
10,"Arrow Lakes",2019,18,5
10,"Arrow Lakes",2020,9746,20
10,"Arrow Lakes",2021,163526,77
10,"Arrow Lakes",2022,8743,63
10,"Arrow Lakes",2023,27184,52
10,"Arrow Lakes",2024,39686,71
19,"Revelstoke",2017,6861,41
19,"Revelstoke",2018,27508,120
19,"Revelstoke",2019,9,3
19,"Revelstoke",2020,146,11
19,"Revelstoke",2021,55899,90
19,"Revelstoke",2022,3912,53
19,"Revelstoke",2023,67922,71
19,"Revelstoke",2024,42347,99
20,"Kootenay-Columbia",2017,5658,29
20,"Kootenay-Columbia",2018,36779,55
20,"Kootenay-Columbia",2019,22,4
20,"Kootenay-Columbia",2020,2455,9
20,"Kootenay-Columbia",2021,65348,33
20,"Kootenay-Columbia",2022,4233,22
20,"Kootenay-Columbia",2023,417,14
20,"Kootenay-Columbia",2024,14146,37
22,"Vernon",2017,9176,47
22,"Vernon",2018,26764,114
22,"Vernon",2019,2511,10
22,"Vernon",2020,3488,25
22,"Vernon",2021,237780,99
22,"Vernon",2022,10112,65
22,"Vernon",2023,66527,65
22,"Vernon",2024,17672,71
23,"Central Okanagan",2017,19202,29
23,"Central Okanagan",2018,52917,73
23,"Central Okanagan",2019,3396,16
23,"Central Okanagan",2020,2204,17
23,"Central Okanagan",2021,314647,75
23,"Central Okanagan",2022,7429,29
23,"Central Okanagan",2023,102649,40
23,"Central Okanagan",2024,2788,33
27,"Cariboo-Chilcotin",2017,922743,85
27,"Cariboo-Chilcotin",2018,313638,139
27,"Cariboo-Chilcotin",2019,462,20
27,"Cariboo-Chilcotin",2020,524,11
27,"Cariboo-Chilcotin",2021,370982,119
27,"Cariboo-Chilcotin",2022,8624,68
27,"Cariboo-Chilcotin",2023,279533,156
27,"Cariboo-Chilcotin",2024,151847,120
28,"Quesnel",2017,703634,75
28,"Quesnel",2018,407068,90
28,"Quesnel",2019,401,10
28,"Quesnel",2020,7,1
28,"Quesnel",2021,82550,63
28,"Quesnel",2022,154,21
28,"Quesnel",2023,182866,108
28,"Quesnel",2024,116818,69
33,"Chilliwack",2017,13992,7
33,"Chilliwack",2018,25548,14
33,"Chilliwack",2019,5,1
33,"Chilliwack",2020,68,5
33,"Chilliwack",2021,32131,12
33,"Chilliwack",2022,7034,13
33,"Chilliwack",2023,15850,14
33,"Chilliwack",2024,4564,7
34,"Abbotsford",2017,188,5
34,"Abbotsford",2018,6328,9
34,"Abbotsford",2019,9,2
34,"Abbotsford",2020,18,3
34,"Abbotsford",2021,750,5
34,"Abbotsford",2022,944,6
34,"Abbotsford",2023,2349,11
34,"Abbotsford",2024,13,4
35,"Langley",2017,188,5
35,"Langley",2018,555,7
35,"Langley",2019,13,3
35,"Langley",2020,18,3
35,"Langley",2021,692,3
35,"Langley",2022,586,3
35,"Langley",2023,1108,9
35,"Langley",2024,15,5
36,"Surrey",2017,187,4
36,"Surrey",2018,555,7
36,"Surrey",2019,13,3
36,"Surrey",2020,23,6
36,"Surrey",2021,314,3
36,"Surrey",2022,11,2
36,"Surrey",2023,1287,9
36,"Surrey",2024,24,7
37,"Delta",2017,6,4
37,"Delta",2018,415,10
37,"Delta",2019,13,3
37,"Delta",2020,36,8
37,"Delta",2021,93,3
37,"Delta",2022,11,2
37,"Delta",2023,1284,7
37,"Delta",2024,171,5
38,"Richmond",2017,6,3
38,"Richmond",2018,413,9
38,"Richmond",2019,30,6
38,"Richmond",2020,36,8
38,"Richmond",2021,93,3
38,"Richmond",2022,13,3
38,"Richmond",2023,495,5
38,"Richmond",2024,173,7
39,"Vancouver",2017,21,4
39,"Vancouver",2018,328,7
39,"Vancouver",2019,33,7
39,"Vancouver",2020,28,5
39,"Vancouver",2021,102,4
39,"Vancouver",2022,13,3
39,"Vancouver",2023,815,8
39,"Vancouver",2024,15,6
40,"New Westminster",2017,3,2
40,"New Westminster",2018,130,6
40,"New Westminster",2019,13,3
40,"New Westminster",2020,2,1
40,"New Westminster",2021,91,2
40,"New Westminster",2022,11,2
40,"New Westminster",2023,1284,7
40,"New Westminster",2024,13,4
41,"Burnaby",2017,3,2
41,"Burnaby",2018,130,6
41,"Burnaby",2019,13,3
41,"Burnaby",2020,3,2
41,"Burnaby",2021,100,3
41,"Burnaby",2022,11,2
41,"Burnaby",2023,1284,7
41,"Burnaby",2024,13,4
42,"Maple-Ridge Pitt-Meadows",2017,191,6
42,"Maple-Ridge Pitt-Meadows",2018,2255,13
42,"Maple-Ridge Pitt-Meadows",2019,18,5
42,"Maple-Ridge Pitt-Meadows",2020,495,8
42,"Maple-Ridge Pitt-Meadows",2021,1356,9
42,"Maple-Ridge Pitt-Meadows",2022,9606,12
42,"Maple-Ridge Pitt-Meadows",2023,24875,27
42,"Maple-Ridge Pitt-Meadows",2024,1880,15
43,"Coquitlam",2017,187,4
43,"Coquitlam",2018,970,11
43,"Coquitlam",2019,17,4
43,"Coquitlam",2020,402,5
43,"Coquitlam",2021,967,7
43,"Coquitlam",2022,4801,8
43,"Coquitlam",2023,1425,14
43,"Coquitlam",2024,673,11
44,"North Vancouver",2017,3,2
44,"North Vancouver",2018,320,10
44,"North Vancouver",2019,30,6
44,"North Vancouver",2020,16,4
44,"North Vancouver",2021,325,5
44,"North Vancouver",2022,13,3
44,"North Vancouver",2023,1424,12
44,"North Vancouver",2024,661,8
45,"West Vancouver",2017,3,1
45,"West Vancouver",2018,327,6
45,"West Vancouver",2019,25,5
45,"West Vancouver",2020,26,4
45,"West Vancouver",2021,102,4
45,"West Vancouver",2022,13,3
45,"West Vancouver",2023,532,8
45,"West Vancouver",2024,17,5
46,"Sunshine Coast",2017,25,8
46,"Sunshine Coast",2018,5140,23
46,"Sunshine Coast",2019,47,8
46,"Sunshine Coast",2020,890,11
46,"Sunshine Coast",2021,113,7
46,"Sunshine Coast",2022,377,11
46,"Sunshine Coast",2023,3272,22
46,"Sunshine Coast",2024,1784,18
47,"Powell RIver",2017,23,8
47,"Powell RIver",2018,6240,22
47,"Powell RIver",2019,51,10
47,"Powell RIver",2020,506,9
47,"Powell RIver",2021,123,7
47,"Powell RIver",2022,1502,15
47,"Powell RIver",2023,5856,35
47,"Powell RIver",2024,1256,13
48,"Sea to Sky",2017,181046,13
48,"Sea to Sky",2018,6955,29
48,"Sea to Sky",2019,46,10
48,"Sea to Sky",2020,940,16
48,"Sea to Sky",2021,124909,22
48,"Sea to Sky",2022,15880,32
48,"Sea to Sky",2023,37045,39
48,"Sea to Sky",2024,24762,25
49,"Central Coast",2017,441729,7
49,"Central Coast",2018,310505,23
49,"Central Coast",2019,124,7
49,"Central Coast",2020,0,0
49,"Central Coast",2021,29566,10
49,"Central Coast",2022,465,9
49,"Central Coast",2023,124633,46
49,"Central Coast",2024,87816,11
50,"Haida Gwaii",2017,0,0
50,"Haida Gwaii",2018,0,0
50,"Haida Gwaii",2019,0,0
50,"Haida Gwaii",2020,0,0
50,"Haida Gwaii",2021,2,1
50,"Haida Gwaii",2022,0,0
50,"Haida Gwaii",2023,0,0
50,"Haida Gwaii",2024,0,0
51,"Boundary",2017,16440,37
51,"Boundary",2018,57871,87
51,"Boundary",2019,3347,8
51,"Boundary",2020,3387,14
51,"Boundary",2021,145663,51
51,"Boundary",2022,8759,25
51,"Boundary",2023,58160,28
51,"Boundary",2024,13668,41
52,"Prince Rupert",2017,0,0
52,"Prince Rupert",2018,0,0
52,"Prince Rupert",2019,3,2
52,"Prince Rupert",2020,40,1
52,"Prince Rupert",2021,6,2
52,"Prince Rupert",2022,62,2
52,"Prince Rupert",2023,670,9
52,"Prince Rupert",2024,126,4
53,"Okanagan-Similkameen",2017,18916,20
53,"Okanagan-Similkameen",2018,47640,46
53,"Okanagan-Similkameen",2019,3362,12
53,"Okanagan-Similkameen",2020,2165,11
53,"Okanagan-Similkameen",2021,141837,37
53,"Okanagan-Similkameen",2022,12994,19
53,"Okanagan-Similkameen",2023,59283,25
53,"Okanagan-Similkameen",2024,4893,22
54,"Bulkley Valley",2017,210,7
54,"Bulkley Valley",2018,276624,28
54,"Bulkley Valley",2019,17,4
54,"Bulkley Valley",2020,46,2
54,"Bulkley Valley",2021,20128,6
54,"Bulkley Valley",2022,477,9
54,"Bulkley Valley",2023,103355,68
54,"Bulkley Valley",2024,86977,18
57,"Prince George",2017,453970,72
57,"Prince George",2018,146483,127
57,"Prince George",2019,350,11
57,"Prince George",2020,39,7
57,"Prince George",2021,91708,95
57,"Prince George",2022,39576,39
57,"Prince George",2023,327230,144
57,"Prince George",2024,38993,104
58,"Nicola-Similkameen",2017,198308,40
58,"Nicola-Similkameen",2018,50696,74
58,"Nicola-Similkameen",2019,3651,22
58,"Nicola-Similkameen",2020,2276,26
58,"Nicola-Similkameen",2021,358087,79
58,"Nicola-Similkameen",2022,25185,60
58,"Nicola-Similkameen",2023,127137,55
58,"Nicola-Similkameen",2024,29062,44
59,"Peace River South",2017,581,14
59,"Peace River South",2018,741,27
59,"Peace River South",2019,331,6
59,"Peace River South",2020,61,5
59,"Peace River South",2021,14633,29
59,"Peace River South",2022,39479,32
59,"Peace River South",2023,93682,61
59,"Peace River South",2024,2728,41
60,"Peace River North",2017,470,16
60,"Peace River North",2018,61443,82
